Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52533047,48.89310053,47.3025911,46.63885656,46.16608106,45.49021457,45.89579759,45.80178918,45.20581254,44.06466143,43.63594046,41.95709327,41.78794614,41.56678489,41.46164304,42.42433151,43.46690639,44.14439162,43.63463161,43.26597393,43.13884745,43.39742811,43.440056,44.32505604,44.93606929,45.60527349,46.73820759,47.26956444,47.42790575,46.81542222,47.17345671
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2840004,55.10800171,54.41199875,53.8390007,53.81499863,54.70199966,54.70999908,55.79100037,56.09600067,55.83499908,56.7480011,57.45500183,56.77799988,56.28099823,56.30899811,56.94599915,57.22399902,58.85200119,58.79000092,56.84999847,57.62599945,57.93799973,58.12599945,58.80199814,59.2179985,59.67399979,59.42399979,59.68799973,60.00699997,59.38000107,58.91999817
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.74900055,42.88000107,42.14500046,41.98799896,42.47499847,43.26699829,43.80699921,44.35699844,45.42900085,45.90299988,47.40800095,49.16699982,49.71099854,49.54199982,48.9469986,48.43700027,47.85100174,48.52899933,49.01300049,48.69800186,47.28300095,47.02199936,46.66899872,46.79999924,47.0909996,47.48199844,47.89699936,48.15000153,48.23199844,47.01800156,47.50899887
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2159996,31.64999962,32.45500183,32.40200043,34.02999878,33.10300064,33.9129982,34.3370018,33.1230011,33.01499939,32.36299896,32.16199875,33.27099991,34.13600159,35.22800064,36.45899963,37.6590004,38.84000015,38.65399933,40.99200058,43.32699966,43.89199829,44.47900009,45.11100006,44.97999954,44.6969986,45.0929985,45.36600113,45.49499893,39.51699829,41.76800156
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34300232,71.09999847,70.65499878,70.27899933,69.97200012,69.65100098,69.33499908,69.08000183,68.8239975,68.56700134,67.60399628,66.6989975,65.85099792,65.25299835,64.57499695,63.95999908,63.33100128,62.51399994,61.75500107,61.16699982,61.15599823,60.8370018,60.54199982,60.35200119,60.14500046,59.94200134,59.65299988,59.39899826,59.01200104,56.5320015,58.88199997
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54499817,44.56700134,45.08100128,45.60800171,46.1609993,46.19800186,46.24399948,46.25899887,46.48899841,46.72200012,46.9469986,47.17100143,47.38100052,47.6590004,47.87200165,48.11299896,48.32899857,48.58800125,48.81200027,49.07300186,49.20999908,49.57099915,51.09500122,51.97499847,52.86399841,53.77199936,53.33000183,53.9469986,54.56999969,53.92900085,54.69800186
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.66400146,72.62799835,72.52999878,72.63899994,72.64299774,72.63999939,72.64900208,72.66699982,72.68599701,72.70200348,72.71299744,73.15799713,73.61399841,74.07800293,74.48100281,74.92900085,75.375,72.73200226,69.95200348,67.03900146,66.3690033,65.69400024,65.00099945,64.30200195,64.32099915,64.33200073,64.35199738,64.39199829,64.43299866,63.64500046,63.74000168
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.54100037,69.51699829,69.49900055,69.53199768,69.57700348,69.55000305,69.53700256,69.56800079,69.59200287,69.61499786,69.61799622,69.62999725,69.64099884,69.65399933,69.66699982,68.3710022,67.05899811,65.72399902,64.36000061,63.0019989,61.61299896,60.21099854,60.19200134,60.18399811,60.17599869,60.14899826,60.1590004,60.18899918,60.21900177,59.30699921,59.76800156
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8370018,51.92100143,51.97000122,52.00699997,52.18899918,52.26499939,52.28499985,52.40000153,52.39599991,52.56700134,52.56399918,52.61100006,52.61100006,52.67399979,52.74599838,52.73099899,52.55099869,52.6609993,52.69400024,52.65999985,52.48600006,52.49499893,52.32099915,52.35599899,52.21099854,52.12099838,52.1969986,52.2120018,52.29800034,50.55899811,50.77700043
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.07600021,44.63800049,46.24000168,46.22999954,47.35499954,45.49700165,45.70700073,44.00999832,40.37900162,39.88299942,43.00600052,42.84400177,44.51499939,43.38299942,43.73400116,43.22600174,42.55899811,42.91699982,45.36299896,47.38999939,48.72200012,50.29000092,50.72100067,51.17300034,51.76699829,51.29399872,50.99900055,50.20000076,48.77799988,40.61899948,42.30099869
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69000053,29.77400017,29.79800034,29.82699966,29.93700027,30,30.11199951,30.20599937,30.33300018,30.51000023,30.61700058,30.76600075,30.90200043,31.00499916,30.82799911,30.64699936,30.45800018,30.29500008,30.11499977,29.9470005,29.78000069,29.60700035,29.45000076,29.2670002,29.33399963,29.41300011,29.48699951,29.56599998,29.64299965,29.04299927,29.16600037
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.17900085,36.50500107,36.7859993,37.125,37.4090004,37.70999908,38.02999878,38.36500168,38.6969986,39.0359993,39.30099869,39.63999939,39.97200012,40.34700012,40.69400024,41.07099915,41.48799896,41.85200119,42.22999954,42.68399811,43.08499908,43.4620018,43.85499954,44.25600052,44.66500092,45.09700012,45.50999832,43.11999893,44.67699814,40.87900162,42.34500122
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.85700035,30.74399948,31.70599937,32.56999969,33.07500076,31.06999969,34.18500137,36.23199844,36.53699875,35.83499908,39.10800171,38.7859993,39.14199829,37.45500183,40.37900162,40.70399857,42.47499847,43.44900131,41.86600113,39.89599991,40.77099991,45.69499969,46.09700012,45.7859993,44.71500015,39.29499817,41.2820015,42.95000076,45.15599823,38.18799973,40.02799988
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.30691581,44.29088646,44.4060128,44.53901041,45.08154803,45.03520183,45.09439466,44.8982139,44.85288128,45.02943806,44.85506238,44.75630762,45.02392062,46.02030556,46.46223766,47.17061354,47.04515947,47.48065631,46.25914996,45.58227383,45.40051968,45.97798706,46.12555586,46.78142015,48.2888691,48.15819879,48.88298921,49.37142221,49.63049122,47.1757253,48.43147135
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15999985,30.87400055,29.23200035,29.29800034,29.39800072,30.36700058,31.00900078,31.62800026,32.06200027,33.13499832,34.3730011,34.97200012,35.87400055,36.9620018,38.0909996,39.27299881,40.09700012,40.39300156,41.5320015,40.72700119,40.17100143,40.34500122,40.54999924,40.70000076,41.26900101,41.31000137,41.55899811,41.54899979,41.61500168,38.20800018,39.2480011
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.61600113,42.02999878,41.86000061,42.67300034,43.42499924,43.82099915,44.42699814,45.27799988,44.17599869,45.01499939,48.34999847,49.83499908,50.98300171,50.23099899,49.51100159,51.13899994,52.97900009,53.25999832,53.31000137,53.85200119,52.80199814,50.38399887,48.17599869,49.56800079,49.01300049,48.68199921,50.25500107,52.19300079,52.69599915,52.09999847,53.06299973
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.26399994,50.74499893,49.48600006,49.84700012,49.81200027,49.40499878,48.91199875,47.75299835,46.63999939,46.07099915,46.18099976,46.38600159,45.91899872,45.58800125,45.67599869,46.06700134,46.40800095,46.55899811,45.72000122,45.15299988,45.56499863,45.93099976,46.69800186,47.09899902,48.12900162,49.43899918,50.41600037,51.29700089,51.33499908,50.28699875,50.10800171
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.98500061,43.93600082,43.18399811,42.86600113,43.0929985,43.26300049,43.10300064,43.38000107,44.4679985,44.8409996,45.4980011,45.34199905,45.1590004,44.49000168,45.57799911,46.73500061,47.84000015,48.54100037,49.07899857,49.60300064,50.97800064,51.22399902,51.88700104,52.22299957,52.40000153,53.56399918,54.06000137,54.33599854,55.04800034,53.64699936,53.70700073
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.218999863,9.279000282,9.315999985,9.406999588,9.442000389,9.506999969,9.56000042,9.597999573,9.659000397,9.725000381,9.781000137,9.864999771,9.961000443,10.06200027,10.16899967,10.35000038,10.52900028,10.7159996,10.8760004,11.06099987,11.17500019,11.24600029,11.31900024,11.40400028,11.49100018,11.53800011,11.61100006,11.70300007,11.76900005,10.93900013,11.13099957
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.50699997,56.23300171,55.00099945,53.04800034,52.49700165,53.83300018,55.22499847,55.70299911,56.5,57.22700119,56.80799866,57.63800049,56.2879982,57.10200119,57.20500183,58.16500092,58.10800171,57.4659996,56.26300049,54.86800003,54.12400055,53.61500168,53.17900085,52.94400024,53.0320015,53.89099884,54.13299942,54.48899841,54.93199921,54.29399872,55.0890007
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15399933,32.09500122,32.60499954,32.64599991,33.00899887,33.38399887,34.06499863,34.52899933,34.94100189,35.23400116,33.75999832,35.68299866,34.97800064,34.97900009,35.67699814,36.74200058,36.98400116,38.5340004,35.65299988,38.54499817,39.82300186,40.85599899,40.15299988,40.7859993,42.73699951,43.41500092,44.87799835,45.54000092,47.22800064,42.96900177,44.55400085
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.140999794,8.786000252,8.609000206,8.458999634,8.015000343,8.409999847,8.781999588,8.765999794,8.708999634,8.668999672,9.017000198,9.227000237,9.548000336,10.60599995,10.86900043,11.27499962,10.90299988,11.23700047,11.31599998,11.36499977,12.30300045,13.0170002,13.77999973,12.47700024,13.49300003,13.74400043,13.60200024,13.47399998,13.37199974,12.19799995,12.65200043
